2nd_Edition	{'2nd edition': 16}
2nd_edition	{'2nd edition': 1}
3rd_Edition	{'3rd edition': 9}
3rd_edition	{'3rd edition': 1}
AB	{'ab': 1}
ACC	{'acc': 1}
ACM	{'acm': 16}
ACT	{'act': 1}
ADAM	{'adam': 1}
AES	{'aes': 1}
AI	{'ai': 33}
ANSI	{'ansi': 3}
API	{'api': 9}
ART	{'art': 1}
ARTIST	{'artist': 1}
ASCII	{'ascii': 2}
AWK	{'awk': 1}
Ab_Initio	{'ab initio': 1}
Abstract_Interpretation	{'abstract interpretation': 2}
Abstract_machine	{'abstract machine': 1}
Academic	{'academic': 3}
Access_Control	{'access control': 1}
Access_control	{'access control': 1}
Acoustic	{'acoustic': 2}
Act	{'act': 1}
Action	{'action': 8}
Action_Research	{'action research': 1}
Active_Database	{'active database': 11}
Actor	{'actor': 3}
Actors	{'actors': 1}
Ad_Hoc	{'ad hoc': 2}
Adaptive_Control	{'adaptive control': 1}
Addison_Wesley	{'addison wesley': 1}
Address_Resolution_Protocol	{'address resolution protocol': 1}
Adjoint_Functors	{'adjoint functors': 1}
Adobe_Acrobat	{'adobe acrobat': 3}
Adobe_Illustrator	{'adobe illustrator': 1}
Adoption	{'adoption': 6}
Affective_Computing	{'affective computing': 1}
Agent_Based	{'agent based': 7}
Agent_base	{'agent based': 3}
Aggregate_Data	{'aggregate data': 2}
Algebra	{'algebra': 2}
Algebraic	{'algebraic': 20}
Algebraic_Topology	{'algebraic topology': 1}
Algorithm	{'algorithm': 16}
Algorithms	{'algorithms': 110}
Altair	{'altair': 1}
American	{'american': 1}
American_National_Standards_Institute	{'american national standards institute': 1}
Americans	{'americans': 1}
Amir_Pnueli	{'amir pnueli': 1}
Amusement	{'amusement': 1}
An_Overview	{'an overview': 2}
Anatomy	{'anatomy': 3}
Animal	{'animal': 1}
Animated	{'animated': 2}
Animation	{'animation': 13}
Anisotropic	{'anisotropic': 3}
Ansatz	{'ansatz': 7}
Ant_Colony	{'ant colony': 2}
Anthropometric	{'anthropometric': 1}
Anthropometry	{'anthropometry': 1}
Anxiety	{'anxiety': 2}
Application_Service_Provider	{'application service provider': 1}
Application_Software	{'application software': 1}
Arabic	{'arabic': 1}
Archaeological	{'archaeological': 4}
Archaeology	{'archaeology': 1}
Architectural	{'architectural': 2}
Architecture	{'architecture': 26}
Area	{'area': 8}
Arithmetic	{'arithmetic': 2}
Art	{'art': 9}
Artificial	{'artificial': 3}
Artificial_Intelligence	{'artificial intelligence': 18}
Artificial_Life	{'artificial life': 1}
Artificial_Neural_Networks	{'artificial neural networks': 2}
Artisan	{'artisan': 1}
Asia_Pacific_Region	{'asia pacific region': 1}
Aspect	{'aspect': 1}
Atom	{'atom': 1}
Attribute_Grammar	{'attribute grammar': 2}
Audio_Signal	{'audio signal': 1}
Australia	{'australia': 1}
Authentication	{'authentication': 1}
Author	{'author': 1}
Automata	{'automata': 13}
Automata_Theory	{'automata theory': 1}
Automated_Reasoning	{'automated reasoning': 2}
Automated_Theorem_Proving	{'automated theorem proving': 1}
Automatic_Speech_Recognition	{'automatic speech recognition': 1}
Automation	{'automation': 14}
Automobile	{'automobile': 2}
Avalon	{'avalon': 1}
B2B	{'b2b': 1}
BBC	{'bbc': 1}
BGP	{'bgp': 1}
BLT	{'blt': 1}
BS	{'bs': 13}
B_Spline	{'b spline': 1}
B_spline	{'b spline': 1}
Backtracking	{'backtracking': 2}
Balanced_Scorecard	{'balanced scorecard': 2}
Bangladesh	{'bangladesh': 1}
Based_Approach	{'based approach': 2}
Basic	{'basic': 9}
Bayesian	{'bayesian': 10}
Bayesian_Analysis	{'bayesian analysis': 2}
Bayesian_Network	{'bayesian network': 1}
Beam	{'beam': 1}
Belief_Propagation	{'belief propagation': 1}
Belief_Revision	{'belief revision': 1}
Benchmarking	{'benchmarking': 3}
Berkeley	{'berkeley': 6}
Berlin	{'berlin': 1}
Bernstein	{'bernstein': 1}
Bilinear	{'bilinear': 1}
Binary	{'binary': 4}
Bioinformatics	{'bioinformatics': 5}
Biomechanics	{'biomechanics': 1}
Bit	{'bit': 1}
Blackboard	{'blackboard': 1}
Blended_Learning	{'blended learning': 1}
Bluetooth	{'bluetooth': 4}
Bob_Gibson	{'bob gibson': 1}
Body_Shape	{'body shape': 1}
Bone	{'bone': 1}
Book	{'book': 26}
Boolean	{'boolean': 3}
Brain	{'brain': 2}
Breast	{'breast': 1}
Brian_Kernighan	{'brian kernighan': 1}
Broadband	{'broadband': 4}
Broadcast	{'broadcast': 3}
Broadcasting	{'broadcasting': 1}
Burr	{'burr': 1}
Business	{'business': 31}
Business_Intelligence	{'business intelligence': 1}
Business_Model	{'business model': 2}
Business_Process	{'business process': 2}
Business_Process_Management	{'business process management': 2}
Business_Process_Outsourcing	{'business process outsourcing': 1}
Business_Processes	{'business processes': 1}
Bytes	{'bytes': 1}
C++	{'c++': 57}
CAD	{'cad': 35}
CAESAR	{'caesar': 2}
CCD_Camera	{'ccd camera': 2}
CCD_camera	{'ccd camera': 1}
CCITT	{'ccitt': 1}
CDMA	{'cdma': 1}
CGI	{'cgi': 1}
CMU	{'cmu': 3}
CNRS	{'cnrs': 1}
CORBA	{'corba': 5}
CPLEX	{'cplex': 1}
CPU	{'cpu': 4}
CRM	{'crm': 3}
CT_scan	{'ct scans': 1}
CUBE	{'cube': 2}
Caesar	{'caesar': 1}
Calculator	{'calculator': 1}
Calculus	{'calculus': 1}
Calgary	{'calgary': 1}
California	{'california': 3}
Cambridge_University	{'cambridge university': 1}
Camelot	{'camelot': 1}
Camera	{'camera': 29}
Canadian_Space_Agency	{'canadian space agency': 1}
Cancer	{'cancer': 3}
Canterbury	{'canterbury': 1}
Cardinality	{'cardinality': 4}
Cardiology	{'cardiology': 1}
Caricature	{'caricature': 1}
Case_Study	{'case study': 11}
Catalyst	{'catalyst': 2}
Catania	{'catania': 1}
Cauchy	{'cauchy': 1}
Census	{'census': 1}
Chance_Discovery	{'chance discovery': 10}
Chemical_Compounds	{'chemical compounds': 1}
Chess	{'chess': 1}
China	{'china': 1}
Chinese	{'chinese': 2}
Citizenship	{'citizenship': 1}
City	{'city': 3}
Clam	{'clam': 1}
Classical	{'classical': 5}
Classical_Logic	{'classical logic': 1}
Clock	{'clock': 1}
Closest_Point	{'closest point': 1}
Cluster_Analysis	{'cluster analysis': 3}
Cognitive	{'cognitive': 3}
Cognitive_Science	{'cognitive science': 1}
Collaborative_Learning	{'collaborative learning': 3}
Collision_detection	{'collision detection': 1}
Color_Images	{'color images': 1}
Color_Space	{'color space': 1}
Color_image	{'color images': 1}
Coloured	{'coloured': 1}
Combinatorial	{'combinatorial': 1}
Combinatorial_Optimization	{'combinatorial optimization': 2}
Combinatorics	{'combinatorics': 1}
Commerce	{'commerce': 7}
Commonwealth	{'commonwealth': 1}
Communication	{'communication': 19}
Community	{'community': 4}
Competitive_Advantage	{'competitive advantage': 1}
Competitive_Intelligence	{'competitive intelligence': 2}
Compilation	{'compilation': 1}
Compiler	{'compiler': 13}
Complex_Systems	{'complex systems': 2}
Complexity_Theory	{'complexity theory': 2}
Complexity_theory	{'complexity theory': 1}
Component_Based	{'component based': 6}
Composition_Algebra	{'composition algebra': 1}
Comprehensive	{'comprehensive': 2}
Computability	{'computability': 2}
Computational_Biology	{'computational biology': 3}
Computational_Complexity	{'computational complexity': 2}
Computational_Electromagnetics	{'computational electromagnetics': 1}
Computational_Fluid_Dynamics	{'computational fluid dynamics': 1}
Computational_Geometry	{'computational geometry': 5}
Computational_complexity	{'computational complexity': 1}
Computer_Aided_Design	{'computer aided design': 1}
Computer_Science	{'computer science': 27}
Computer_aid_Design	{'computer aided design': 1}
Computers	{'computers': 4}
Computing	{'computing': 18}
ConTract	{'contract': 1}
Conceptual_Model	{'conceptual model': 1}
Concert	{'concert': 1}
Concrete	{'concrete': 1}
Concurrency_Control	{'concurrency control': 17}
Conducting	{'conducting': 1}
Confocal	{'confocal': 1}
Conic	{'conic': 1}
Connectionist	{'connectionist': 1}
Conservative	{'conservative': 1}
Construction	{'construction': 17}
Constructivism	{'constructivism': 1}
Consumer	{'consumer': 1}
Content_Based	{'content based': 3}
Content_Based_Image_Retrieval	{'content based image retrieval': 2}
Content_Management	{'content management': 4}
Content_base	{'content based': 5}
Content_base_Image_Retrieval	{'content based image retrieval': 1}
Context_Free	{'context free': 3}
Contract	{'contract': 2}
Convergent	{'convergent': 1}
Cookbook	{'cookbook': 1}
Cooperative	{'cooperative': 4}
Cornell	{'cornell': 1}
Corporation	{'corporation': 2}
Cortical	{'cortical': 1}
Covariance	{'covariance': 1}
Craniofacial	{'craniofacial': 1}
Cray_X_MP	{'cray x mp': 1}
Credit_Card	{'credit card': 2}
Crick	{'crick': 1}
Criminal_Justice	{'criminal justice': 1}
Cruise_Control	{'cruise control': 1}
Cryptography	{'cryptography': 4}
Cube	{'cube': 1}
Cultural	{'cultural': 3}
Cultural_Heritage	{'cultural heritage': 1}
Culture	{'culture': 2}
Cuneiform	{'cuneiform': 1}
Curriculum	{'curriculum': 7}
Curvature	{'curvature': 3}
Cyclops	{'cyclops': 1}
DB2	{'db2': 8}
DBMS	{'dbms': 13}
DEMO	{'demo': 1}
DFDs	{'dfds': 2}
DFT	{'dft': 4}
DLR	{'dlr': 2}
DNA	{'dna': 4}
DRM	{'drm': 1}
DTD	{'dtd': 1}
Daily	{'daily': 1}
Darmstadt	{'darmstadt': 1}
Dashboard	{'dashboard': 1}
Data	{'data': 223}
Data_Acquisition	{'data acquisition': 6}
Data_Analysis	{'data analysis': 5}
Data_Compression	{'data compression': 4}
Data_Fusion	{'data fusion': 2}
Data_Integration	{'data integration': 4}
Data_Management	{'data management': 9}
Data_Mining	{'data mining': 128}
Data_Model	{'data model': 14}
Data_Modeling	{'data modeling': 6}
Data_Processing	{'data processing': 2}
Data_Quality	{'data quality': 17}
Data_Security	{'data security': 1}
Data_Stream	{'data stream': 1}
Data_Structures	{'data structures': 15}
Data_Transmission	{'data transmission': 1}
Data_Type	{'data type': 2}
Data_Warehouse	{'data warehouse': 5}
Data_Warehousing	{'data warehousing': 5}
Data_integration	{'data integration': 6}
Data_mining	{'data mining': 9}
Data_structure	{'data structures': 1}
Data_warehouse	{'data warehouse': 1}
Database	{'database': 150}
Database_Design	{'database design': 26}
Database_Management	{'database management': 6}
Database_Management_Systems	{'database management systems': 6}
Database_Systems	{'database systems': 64}
Database_Transaction	{'database transaction': 2}
Database_design	{'database design': 4}
Databases	{'databases': 51}
Datacenter	{'datacenter': 1}
Dataflow	{'dataflow': 1}
Datalog	{'datalog': 3}
Datatype	{'datatype': 1}
David	{'david': 68}
Deadlock	{'deadlock': 1}
Debugger	{'debugger': 1}
Decision_Problem	{'decision problem': 1}
Decision_Support	{'decision support': 2}
Decision_Support_Systems	{'decision support systems': 5}
Decision_Theory	{'decision theory': 1}
Decompression	{'decompression': 1}
Deductive	{'deductive': 10}
Deductive_Reasoning	{'deductive reasoning': 1}
Degree	{'degree': 1}
Demodulation	{'demodulation': 2}
Denotational_Semantics	{'denotational semantics': 2}
Density	{'density': 2}
Department	{'department': 2}
Depth_Map	{'depth map': 2}
Derivative	{'derivative': 2}
Descartes	{'descartes': 1}
Design	{'design': 77}
Design_Methods	{'design methods': 1}
Design_Patterns	{'design patterns': 1}
Differential_Equations	{'differential equations': 1}
Diffraction	{'diffraction': 2}
Diffusion	{'diffusion': 8}
Digital	{'digital': 38}
Digital_3d	{'digital 3d': 3}
Digital_Asset_Management	{'digital asset management': 1}
Digital_Camera	{'digital camera': 2}
Digital_Divide	{'digital divide': 6}
Digital_Economy	{'digital economy': 3}
Digital_Equipment_Corporation	{'digital equipment corporation': 1}
Digital_Libraries	{'digital libraries': 3}
Digital_Library	{'digital library': 22}
Digital_Literacy	{'digital literacy': 1}
Digital_Media	{'digital media': 1}
Digital_Preservation	{'digital preservation': 1}
Digital_Signature	{'digital signature': 1}
Digital_library	{'digital libraries': 1}
Digital_medium	{'digital media': 1}
Digitizing	{'digitizing': 4}
Dimension	{'dimension': 3}
Directed	{'directed': 1}
Director	{'director': 1}
Dirichlet	{'dirichlet': 1}
Discourse_Analysis	{'discourse analysis': 1}
Discrete_Fourier_Transform	{'discrete fourier transform': 1}
Discrete_Geometry	{'discrete geometry': 1}
Discrete_Mathematics	{'discrete mathematics': 1}
Discretization	{'discretization': 2}
Disease	{'disease': 1}
Disk_Storage	{'disk storage': 1}
Distance_Education	{'distance education': 7}
Distance_Learning	{'distance learning': 4}
Distortion	{'distortion': 2}
Distributed_Database	{'distributed database': 7}
Distributed_Memory	{'distributed memory': 1}
Distributed_Systems	{'distributed systems': 4}
Distributed_computing	{'distributed computing': 1}
Distribution_Function	{'distribution function': 1}
Distributions	{'distributions': 3}
Dividend	{'dividend': 1}
Document_Management	{'document management': 2}
Domain_Specific	{'domain specific': 2}
Dominion	{'dominion': 1}
Doubles	{'doubles': 1}
Drama	{'drama': 1}
